City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
23,Etchoropo,MX,88.0,clear sky,26.77,-109.67,Hotel Villa Mar
29,Aswan,EG,83.98,clear sky,24.09,32.91,Nuba Nile
39,Santiago,CL,78.01,clear sky,-33.46,-70.65,Hotel Panamericano
40,Viedma,AR,84.0,broken clouds,-40.81,-63.0,Hotel Cristal
41,Hobyo,SO,81.45,light rain,5.35,48.53,Osmani Hotel
55,Alyangula,AU,82.4,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
60,Arlit,NE,89.65,clear sky,18.74,7.39,Hôtel Telwa Bungalow
61,Hithadhoo,MV,83.53,scattered clouds,-0.6,73.08,Scoop Guest House
67,Piranhas,BR,86.68,light rain,-16.43,-51.82,Hotel Brasil
74,Aripuana,BR,87.13,light rain,-9.17,-60.63,
75,Champerico,GT,82.4,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
76,Massaguet,TD,87.8,dust,12.48,15.44,Alwatane
77,Bengkulu,ID,76.24,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
83,Wilmington,US,84.0,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
84,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
86,Minna,NG,86.0,clear sky,9.61,6.56,Royal Park hotel & suites
88,Ende,ID,78.84,scattered clouds,-8.84,121.66,Dwi Putra Hotel - Ende
90,Kavaratti,IN,81.55,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
91,Axim,GH,80.17,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
102,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
107,Juxtlahuaca,MX,82.51,few clouds,17.43,-99.15,"Casa de Huespedes ""El centro"""
111,Muli,MV,82.62,broken clouds,2.92,73.57,Medhufushi Island Resort
112,Georgetown,MY,80.6,moderate rain,5.41,100.34,Cititel Penang
114,Pandamatenga,BW,83.97,scattered clouds,-18.53,25.63,Wildtrack Safaris Eco Lodge
119,Poum,NC,76.15,broken clouds,-20.23,164.02,Gîte kajeon
121,Santa Lucia,ES,75.0,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
122,El Paujil,CO,88.5,scattered clouds,1.57,-75.33,Hostal La Reina
128,Sakakah,SA,80.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
130,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
133,Avera,US,81.0,clear sky,33.19,-82.53,
135,Nabire,ID,75.88,light rain,-3.37,135.48,Hotel Nusantara Nabire
137,Muisne,EC,80.6,overcast clouds,0.6,-80.03,Quinta Samay
139,Paracuru,BR,82.0,few clouds,-3.41,-39.03,Hotel Vento Brasil
143,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
148,Nalut,LY,78.01,clear sky,30.33,10.85,
149,Cayenne,GF,89.6,broken clouds,4.93,-52.33,Hôtel Le Dronmi
157,Caruray,PH,78.64,moderate rain,10.31,119.01,
160,Makakilo City,US,77.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
168,Safaga,EG,82.4,clear sky,26.73,33.94,Lamar Resort Abu Soma
171,Vero Beach,US,82.99,broken clouds,27.64,-80.4,Kimpton Vero Beach Hotel & Spa
186,Namatanai,PG,79.36,clear sky,-3.67,152.43,Namatanai Hotel
187,Uberaba,BR,75.31,moderate rain,-19.75,-47.93,Tamareiras Park Hotel
199,Itarema,BR,87.31,broken clouds,-2.92,-39.92,Windvillage
203,Gambela,ET,75.25,light rain,8.25,34.58,Solomon Debebe Hotel
205,Arambagh,IN,75.04,scattered clouds,22.88,87.78,SDO Bunglow
210,Tshane,BW,89.11,scattered clouds,-24.02,21.87,
215,Gat,IL,79.0,scattered clouds,31.61,34.76,OlusHome
216,Auki,SB,77.83,overcast clouds,-8.77,160.7,Auki Motel
217,Butaritari,KI,81.88,overcast clouds,3.07,172.79,Isles Sunset Lodge
219,Neuquen,AR,78.8,clear sky,-38.95,-68.06,Hotel del Comahue
222,Singapore,SG,82.4,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
228,Faanui,PF,78.64,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
234,Manicore,BR,86.68,light rain,-5.81,-61.3,Pousada da wanda
237,Atambua,ID,76.3,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
238,Abu Dhabi,AE,84.2,clear sky,24.47,54.37,Beach Rotana
241,Ixtapa,MX,88.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
242,Tiassale,CI,81.21,light rain,5.9,-4.83,Hotel Renaissance
243,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
252,Eyl,SO,81.9,clear sky,7.98,49.82,Amiin Hotel
261,Benguela,AO,76.21,broken clouds,-12.58,13.41,Hotel Praia Morena
267,Atuona,PF,78.69,light rain,-9.8,-139.03,Villa Enata
269,Tubuala,PA,82.4,broken clouds,9.52,-79.03,
272,Kutum,SD,80.28,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
273,Sterling,US,75.0,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
274,Banjar,ID,77.95,light rain,-8.19,114.97,The Hamsa Resort
278,Puerto Colombia,CO,82.4,shower rain,10.99,-74.95,Hotel El Emigrante
279,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
280,Robertsport,LR,81.84,overcast clouds,6.75,-11.37,Kwepunha Retreat
283,Ilebo,CD,76.48,light rain,-4.32,20.58,Hôtel des palmes
286,Pitimbu,BR,87.8,few clouds,-7.47,-34.81,Reserva do Abiaí
290,Bonthe,SL,83.32,overcast clouds,7.53,-12.51,Bonthe Holiday Village
292,Khorramshahr,IR,77.0,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
293,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
299,Padang,ID,78.01,moderate rain,-0.95,100.35,Mercure Padang
301,Kalmunai,LK,82.02,broken clouds,7.42,81.82,VS Villa
304,Revadanda,IN,84.2,haze,18.55,72.93,OYO 22032 P P Motel
307,Sigli,ID,79.72,moderate rain,5.38,95.96,Hotel Riza
308,Uruguaiana,BR,80.6,clear sky,-29.75,-57.09,Fares Turis Hotel
311,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
312,Myrtle Beach,US,82.0,clear sky,33.69,-78.89,Bay View Resort Myrtle Beach
314,Ratnagiri,IN,77.86,scattered clouds,16.98,73.3,Hotel Landmark
316,Sao Filipe,CV,82.63,clear sky,14.9,-24.5,Tortuga B&B
320,Tefe,BR,87.8,scattered clouds,-3.35,-64.71,Aracati Hotel
322,Nouadhibou,MR,77.0,dust,20.93,-17.03,El Medina
332,Tevaitoa,PF,79.36,broken clouds,-16.78,-151.5,Hôtel Raiatea Lodge
333,Cordele,US,82.0,scattered clouds,31.96,-83.78,Ramada by Wyndham Cordele
336,Vila Velha,BR,77.0,moderate rain,-20.33,-40.29,Hotel Vitória Palace
339,Najran,SA,78.8,clear sky,17.49,44.13,محمد هادي ال فطيح
342,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
348,Cabedelo,BR,87.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
350,Dingle,PH,75.65,moderate rain,11.0,122.67,Camp Pasica
351,Natal,BR,86.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
354,Bubaque,GW,84.11,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
355,Yuli,NG,85.71,clear sky,9.7,10.27,
358,Morgan City,US,75.99,overcast clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
364,Kununurra,AU,82.4,scattered clouds,-15.77,128.73,Hotel Kununurra
