City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,2020-10-24 17:17:08,42.1,-79.24,44.01,70,90,3.36,overcast clouds
1,Bredasdorp,ZA,2020-10-24 17:17:08,-34.53,20.04,66.2,72,39,9.17,scattered clouds
2,Rosetta,EG,2020-10-24 17:17:08,31.4,30.42,73.4,60,20,4.7,few clouds
3,North Bend,US,2020-10-24 17:17:08,43.41,-124.22,54.0,100,90,3.36,overcast clouds
4,Busselton,AU,2020-10-24 17:17:08,-33.65,115.33,59.0,49,69,12.12,broken clouds
5,Saskylakh,RU,2020-10-24 17:17:08,71.92,114.08,16.79,95,100,23.71,light snow
6,Bhag,PK,2020-10-24 17:17:09,29.04,67.82,74.46,17,0,3.29,clear sky
7,Yellowknife,CA,2020-10-24 17:15:03,62.46,-114.35,24.8,73,40,9.17,scattered clouds
8,Changji,CN,2020-10-24 17:17:09,44.02,87.32,44.6,75,0,2.24,clear sky
9,Oussouye,SN,2020-10-24 17:17:09,12.48,-16.55,95.0,70,20,4.7,few clouds
10,Camopi,GF,2020-10-24 17:13:36,3.17,-52.32,94.6,39,31,7.02,scattered clouds
11,Mataura,NZ,2020-10-24 17:17:09,-46.19,168.86,63.0,60,100,8.01,overcast clouds
12,Svetlogorsk,BY,2020-10-24 17:17:09,52.63,29.73,52.14,92,100,10.47,light rain
13,Hobart,AU,2020-10-24 17:16:52,-42.88,147.33,42.8,60,3,14.99,clear sky
14,Bogovina,RS,2020-10-24 17:17:10,43.9,21.94,60.01,73,100,1.01,overcast clouds
15,Rochegda,RU,2020-10-24 17:17:10,62.8,43.25,31.12,97,95,5.75,overcast clouds
16,Hami,CN,2020-10-24 17:17:10,42.8,93.45,49.3,47,91,12.86,overcast clouds
17,Karasjok,NO,2020-10-24 17:17:10,69.47,25.51,37.4,86,75,31.09,broken clouds
18,Cherskiy,RU,2020-10-24 17:17:10,68.75,161.3,19.13,91,0,7.74,clear sky
19,Airai,TL,2020-10-24 17:17:10,-8.93,125.41,62.17,100,48,0.49,scattered clouds
20,Pangnirtung,CA,2020-10-24 17:17:11,66.15,-65.71,26.6,86,90,4.7,light snow
21,Conceicao Do Araguaia,BR,2020-10-24 17:17:11,-8.26,-49.26,92.71,45,95,5.21,light rain
22,Broome,US,2020-10-24 17:17:11,42.25,-75.83,48.99,81,90,10.29,overcast clouds
23,Etchoropo,MX,2020-10-24 17:17:11,26.77,-109.67,88.0,47,1,1.99,clear sky
24,Riyadh,SA,2020-10-24 17:12:13,24.69,46.72,73.4,28,0,9.1,clear sky
25,Teya,RU,2020-10-24 17:17:11,60.38,92.63,26.8,96,100,7.23,overcast clouds
26,Awjilah,LY,2020-10-24 17:17:11,29.11,21.29,69.58,45,0,5.06,clear sky
27,Komsomolskiy,UZ,2020-10-24 17:17:12,40.43,71.72,51.8,50,100,9.17,overcast clouds
28,Hamilton,US,2020-10-24 17:15:26,39.18,-84.53,48.99,66,90,11.41,overcast clouds
29,Aswan,EG,2020-10-24 17:13:24,24.09,32.91,83.98,28,0,18.05,clear sky
30,New Norfolk,AU,2020-10-24 17:17:12,-42.78,147.06,42.8,60,1,14.99,clear sky
31,Vaini,TO,2020-10-24 17:12:35,-21.2,-175.2,73.4,83,90,8.05,overcast clouds
32,Hasaki,JP,2020-10-24 17:17:13,35.73,140.83,51.8,100,0,5.82,clear sky
33,Rikitea,PF,2020-10-24 17:17:13,-23.12,-134.97,74.73,83,94,21.52,moderate rain
34,Ponta Do Sol,PT,2020-10-24 17:17:13,32.67,-17.1,70.0,60,40,10.29,scattered clouds
35,Ushuaia,AR,2020-10-24 17:15:12,-54.8,-68.3,50.0,53,40,12.75,scattered clouds
36,Hilo,US,2020-10-24 17:17:13,19.73,-155.09,73.4,69,75,5.82,broken clouds
37,Punta Arenas,CL,2020-10-24 17:17:13,-53.15,-70.92,42.8,87,90,12.75,light rain
38,Qaanaaq,GL,2020-10-24 17:17:13,77.48,-69.36,16.75,93,95,11.27,overcast clouds
39,Santiago,CL,2020-10-24 17:14:28,-33.46,-70.65,78.01,40,0,5.82,clear sky
40,Viedma,AR,2020-10-24 17:17:13,-40.81,-63.0,84.0,45,74,7.0,broken clouds
41,Hobyo,SO,2020-10-24 17:17:14,5.35,48.53,81.45,76,37,18.81,light rain
42,Vardo,NO,2020-10-24 17:17:14,70.37,31.11,38.05,92,100,24.79,light rain
43,Albany,US,2020-10-24 17:15:05,42.6,-73.97,57.0,70,95,1.99,overcast clouds
44,Cidreira,BR,2020-10-24 17:17:14,-30.18,-50.21,73.33,74,88,10.38,overcast clouds
45,Shingu,JP,2020-10-24 17:17:14,33.73,135.98,50.25,76,0,7.45,clear sky
46,Chase,CA,2020-10-24 17:17:14,50.82,-119.69,30.99,70,89,4.16,overcast clouds
47,Guerrero Negro,MX,2020-10-24 17:17:14,27.98,-114.06,72.1,64,34,13.11,scattered clouds
48,Taldan,RU,2020-10-24 17:17:14,53.67,124.8,28.02,94,0,5.99,clear sky
49,Chimbote,PE,2020-10-24 17:17:15,-9.09,-78.58,67.6,71,14,11.32,few clouds
